                                       prof_name                                           Range  Range Instances  Avg Range Lvl  Proj Avg (ms)  Proj Med (ms)  Proj Min (ms)  Proj Max (ms)  Proj StdDev (ms)
95      bench-207-qwen3-ep-naive_symm-step_28-53                                :bw.a2a_dispatch              208            2.0           93.2           93.2           91.6           94.8               1.0
96      bench-207-qwen3-ep-naive_symm-step_28-53                                 :bw.a2a_combine              208            2.0           25.2           25.2           24.4           25.5               0.2
97      bench-207-qwen3-ep-naive_symm-step_28-53                                        :fw.Attn              208            3.0            2.3            2.3            2.3            2.5               0.0
98      bench-207-qwen3-ep-naive_symm-step_28-53                                         :fw.MoE              208            3.0           59.2           59.1           57.9           61.4               0.6
99      bench-207-qwen3-ep-naive_symm-step_28-53                                    :dispatch.fw              208            4.0            5.7            5.6            5.4            6.3               0.2
100     bench-207-qwen3-ep-naive_symm-step_28-53                                     :combine.fw              208            4.0           54.9           54.9           53.9           57.1               0.6
101     bench-207-qwen3-ep-naive_symm-step_28-53                                     :experts.fw              208            4.0           43.2           43.2           41.1           46.4               0.8
102     bench-207-qwen3-ep-naive_symm-step_28-53                                :fw.a2a_dispatch              208            6.0            4.3            4.3            4.1            5.0               0.2
103     bench-207-qwen3-ep-naive_symm-step_28-53                                 :fw.a2a_combine              208            6.0           52.8           52.8           51.8           55.0               0.6
104    bench-208-qwen3-ep-pooled-symm-step_28-53    :ep=pooled_symm @ qwen3-30b-a3b @ step_28-53              208            0.0          194.0          194.0          191.8          198.0               0.0
105    bench-208-qwen3-ep-pooled-symm-step_28-53                                    :tr-backward              208            1.0          116.0          115.8          114.1          118.3               1.0
106    bench-208-qwen3-ep-pooled-symm-step_28-53                                    :tr-optimize              208            1.0           11.6           11.6           11.5           11.6               0.0
107    bench-208-qwen3-ep-pooled-symm-step_28-53                                     :tr-forward              208            1.0           65.6           65.5           64.3           68.2               0.6
108    bench-208-qwen3-ep-pooled-symm-step_28-53                                        :tr-data              208            1.0            0.3            0.3            0.2            0.9               0.1
109    bench-208-qwen3-ep-pooled-symm-step_28-53                                :bw.a2a_dispatch              208            2.0            9.4            9.3            6.7           13.9               1.7
110    bench-208-qwen3-ep-pooled-symm-step_28-53                                 :bw.a2a_combine              208            2.0            4.1            4.1            4.0            4.3               0.1
111    bench-208-qwen3-ep-pooled-symm-step_28-53                                         :fw.MoE              208            3.0           59.1           59.0           58.1           59.9               0.4
112    bench-208-qwen3-ep-pooled-symm-step_28-53                                        :fw.Attn              208            3.0            2.4            2.4            2.3            2.5               0.0
113    bench-208-qwen3-ep-pooled-symm-step_28-53                                    :dispatch.fw              208            4.0            5.8            5.7            5.2            6.5               0.3
